,Text,User
10746,"Excellent Dominique #DeVillepin qui recadre avec brio #BHL en lui rappelant l’horreur des guerres de l’État profond : Irak, Libye, etc. ! (cf vidéo ⤵️)

Et qui le remet vertement à sa place « Je ne crois pas que la posture sur les plateaux de télévision soit la bonne réponse ! »… https://t.co/YD83uVIbGp",Florian Philippot
19409,"Le 9 juin, allez voter ! Allez voter pour que tous les enfants de France aient un avenir français. Faites falloir votre volonté. 

Si, dans ce moment d'expression démocratique, vous n’allez pas défendre la France, alors personne ne le fera à votre place ! #Montbélaird https://t.co/gMnTN7vYkx",Jordan Bardella
3313,"Une information malheureusement devenue ""banale"" dans la France de #Macron…",Cercle Aristote
35189,"A midi #MidiNews @CNEWS 
- #Samara #Montpellier «Ma fille a été traitée de mécréante»
- #agression #Samara Déni et lâcheté? 
- #Economies #rentes : La « France des bas de laine » ciblée?
- #Emeutes 9 mois après,quelles condamnations? #justice
- #Paris: La mise en garde de Moscou",Mabrouk Sonia
25136,"✅ Enfin une loi qui va dans le bon sens ! Elle contribuera à protéger les enfants et les familles de l'étalage de leur vie privée sur les réseaux sociaux. 

Merci au député Bruno Studer d'aider les enfants à grandir en paix.
https://t.co/egjuYOBmzB",Le Syndicat de la Famille
41742,"19h, ce soir, 30 mars, à Face à Bock-Côté, sur CNEWS, j'aurai le grand plaisir de recevoir le philosophe Pascal Bruckner. https://t.co/Elxm7i7ZVw",Mathieu Bock-Côté
22910,"L'occasion de rappeler le chef-d'œuvre de Nicole Belloubet, qui a profité du covid pour libérer 12 000 prisonniers, ce que les Français ont payé au prix fort.
Nicole Belloubet est aujourd'hui ministre de l'Éducation nationale. https://t.co/JJXDvmssho",Laurent Obertone
39194,"🔴« Il instrumentalise l’Ukraine »… Les réactions après la prise de parole d’Emmanuel Macron 

🗣️Macron s’est exprimé ce 6 juin sur TF1 et France 2. De quoi attiser la colère de ses opposants politiques, à 3 jours du scrutin pour les élections européennes.https://t.co/z3i9HarfgT",Valeurs actuelles ن
25287,Il pensait être disruptif par rapport à ses prédécesseurs... @EmmanuelMacron nous ressort le coup du marqueur sociétal pour détourner l’attention sur son incapacité à s'occuper de nos vrais problèmes et à défendre la voix de la France à l’international.,Le Syndicat de la Famille
12763,Je suis pour l’expression de toutes les opinions dans le débat public mais je préfère quand c’est fait avec talent,Geoffroy Lejeune
2293,Européennes: la colère française s’exprimera-t-elle de nouveau dimanche? L'analyse d'Ivan Rioufol @causeur https://t.co/deuy1oD2ET,Causeur.fr
32996,"🎙️ À 18h et en direct, écoutez ""le Libre journal de Jacques Trémolet de Villers"" 
🗣️""La nuit des rois"" et ""L'actualité"" avec Hilaire de Crémiers, directeur de la Nouvelle Revue Universelle et conseiller éditorial de Politique Magazine
👉 https://t.co/KxxVtCiQlp ou sur 📡 FM 95.6",Radio Courtoisie
5473,"👏 Toutes mes félicitations à @J_Bardella pour son résultat historique aux élections #Européennes2024 !

Le message est clair : les Français veulent rester Français, dans une autre Europe, et veulent reprendre en main la maîtrise de leur destin ! https://t.co/1EsfEloKSD",David Rachline
35989,"Quel succès pour l'arrivée du Père Noël à Hénin-Beaumont ! 

La descente du Père Noël a eu lieu ce soir. Un spectacle féerique qui a émerveillé les milliers de personnes venues devant l'Hôtel de Ville pour vivre ensemble la magie de Noël. https://t.co/qRaDlkvGjJ",Steeve Briois
26299,"Double peine pour les Français victimes de l’ultraviolence et de la lâcheté du pouvoir, de LR et de la NUPES qui ont refusé comme nous le demandions de faire payer les casseurs.

La réponse de la macronie aux émeutiers c’est tu casses, les Français subissent et payent la facture.",Marine Le Pen
11186,"Pays-Bas : Geert Wilders réussit à placer 5 de ses proches pour gérer l'économie et l'immigration en coalition de gouvernement avec le centre droit et les libéraux
 https://t.co/hGrFqPQN1j https://t.co/cvDsrcMQsS",Fdesouche.com est une revue de presse
8992,🚨 Confirmation : Procès avancé du 6 mars 2025 au 19 juin 2024 devant la 17e chambre du tribunal de Paris.,Faits & Documents
43901,"⛪ Quelle joie d'avoir pu participer à la messe de la Pentecôte au pèlerinage de #Chartres !

🙏🏻 Dans mon homélie, j'ai pu rappeler à la jeunesse catholique sa vocation de missionnaire de la vérité et du bien : n'ayons JAMAIS peur de proclamer le Christ.

#NDC2023 https://t.co/t0KO1uDrJT",Abbé Matthieu Raffray ⚔️🙏🏻
31525,Étrange car la presse dit le contraire. La CIA doit se tromper alors.,Pierre Gentillet
11524,"Dublin (Irlande) : les habitants du quartier Finglas descendent dans la rue après de multiples viols commis par des migrants

https://t.co/qmet5Xy7Ob",Fdesouche.com est une revue de presse
16517,"Pour la première fois depuis 3 mois, je me lève avec le sourire. Apaisé. Et surtout incroyablement requinqué.
Je suis de retour.
Et près a envoyer du bois. 
Merci à l ange qui a rendu cela possible.
Merci à vous tous pour votre patience et votre gentillesse !",J'SUIS PAS CONTENT TV (compte promotionnel)
18425,"Some of us have been warning about this terrible outcome for years, when it still was avoidable.
Weak governments, massive immigration and refusal to acknowledge differences between values carried by religions brought us to the precipice.",Jerome Riviere 🇫🇷
27416,"La droitisation du gouvernement ...Une belle histoire qui aura occupé médiatiquement, pendant trois jours, les plus crédules. Depuis, il y a eu Belloubet, la normalisation ( facile) de Dati, l'hymne au communisme et ses 100 millions de morts et l'invitation au dialogue avec des",Martial Bild
33358,"Bonjour à tous,

Dès 7h00, en direct, suivez votre matinale Ligne Droite avec Maud Koffler et l'équipe du matin.
Pour écouter : https://t.co/kLXGFWhTdo

Programme d'aujourd'hui lundi 25 mars 2024 ci-dessous :

https://t.co/wfbdzocwU3 https://t.co/MfZHFlbd1A",Radio Courtoisie
26642,"Quand des magistrats de #Marseille ont témoigné sur la situation gravissime du narcotrafic, qu'a fait @E_DupondM ? Il est descendu pour leur demander de se taire.

#LaGrandeITW https://t.co/mwevA520rz",Marion Maréchal
13378,La manière du Monde de manifester sa joie de voir les otages libérés : Faire la publicité des bilans dignes de foi d’une organisation terroriste humiliée . Dis moi qui tu cites et je te dirai qui tu hais .,G-William Goldnadel
42499,A demain au @Cercle_Aristote https://t.co/uIgskfqkv9,PierreYves Rougeyron
38786,"🔴Louis Arnaud, l’otage français retenu en Iran depuis deux ans a été libéré ⤵
https://t.co/ATu2lfLxse",Valeurs actuelles ن
8428,"Le 9 juin, nous allons dire « Je veux être heureux, donc je suis français, et ne comptez pas sur moi pour changer d’avis, parce que je suis têtu. » Jeanne d’Arc, Bonaparte et de Gaulle étaient têtus. La France est un pays têtu. La France est le pays qui veut être heureux. https://t.co/2I89IVKP2s",Eric Zemmour
